#LAMOST resolution curve power R=lambda/FWHM
#The curve abruptly change at lambda = 5850AA
#--------------------------------------------
#     wave          R
#--------------------------------------------  
      4670.16      1508.93
      4671.23      1509.53
      4672.31      1510.13
      4673.38      1510.74
      4674.46      1511.34
      4675.53      1511.94
      4676.61      1512.54
      4677.69      1513.14
      4678.77      1513.74
      4679.84      1514.34
      4680.92      1514.94
      4682.00      1515.54
      4683.08      1516.13
      4684.16      1516.73
      4685.23      1517.33
      4686.31      1517.93
      4687.39      1518.52
      4688.47      1519.12
      4689.55      1519.72
      4690.63      1520.31
      4691.71      1520.91
      4692.79      1521.50
      4693.87      1522.09
      4694.95      1522.69
      4696.04      1523.28
      4697.12      1523.87
      4698.20      1524.46
      4699.28      1525.06
      4700.36      1525.65
      4701.45      1526.24
      4702.53      1526.83
      4703.61      1527.42
      4704.69      1528.01
      4705.78      1528.60
      4706.86      1529.19
      4707.94      1529.78
      4709.03      1530.36
      4710.11      1530.95
      4711.20      1531.54
      4712.28      1532.12
      4713.37      1532.71
      4714.45      1533.30
      4715.54      1533.88
      4716.63      1534.47
      4717.71      1535.05
      4718.80      1535.64
      4719.88      1536.22
      4720.97      1536.80
      4722.06      1537.38
      4723.15      1537.96
      4724.23      1538.55
      4725.32      1539.13
      4726.41      1539.71
      4727.50      1540.29
      4728.59      1540.87
      4729.68      1541.45
      4730.76      1542.02
      4731.85      1542.60
      4732.94      1543.18
      4734.04      1543.76
      4735.12      1544.33
      4736.21      1544.91
      4737.31      1545.49
      4738.40      1546.06
      4739.49      1546.64
      4740.58      1547.21
      4741.67      1547.79
      4742.76      1548.36
      4743.85      1548.93
      4744.95      1549.50
      4746.04      1550.08
      4747.13      1550.65
      4748.23      1551.22
      4749.32      1551.79
      4750.41      1552.36
      4751.51      1552.93
      4752.60      1553.50
      4753.69      1554.06
      4754.79      1554.63
      4755.88      1555.20
      4756.98      1555.77
      4758.08      1556.33
      4759.17      1556.90
      4760.27      1557.46
      4761.36      1558.03
      4762.46      1558.59
      4763.56      1559.16
      4764.65      1559.72
      4765.75      1560.28
      4766.85      1560.84
      4767.95      1561.41
      4769.04      1561.97
      4770.14      1562.53
      4771.24      1563.09
      4772.34      1563.65
      4773.44      1564.21
      4774.54      1564.76
      4775.64      1565.32
      4776.74      1565.88
      4777.84      1566.44
      4778.94      1566.99
      4780.04      1567.55
      4781.14      1568.10
      4782.24      1568.66
      4783.34      1569.21
      4784.44      1569.76
      4785.54      1570.32
      4786.65      1570.87
      4787.75      1571.42
      4788.85      1571.97
      4789.95      1572.52
      4791.06      1573.07
      4792.16      1573.62
      4793.26      1574.17
      4794.37      1574.72
      4795.47      1575.27
      4796.58      1575.82
      4797.68      1576.36
      4798.79      1576.91
      4799.89      1577.45
      4801.00      1578.00
      4802.10      1578.54
      4803.21      1579.09
      4804.31      1579.63
      4805.42      1580.18
      4806.53      1580.72
      4807.63      1581.26
      4808.74      1581.80
      4809.85      1582.34
      4810.96      1582.88
      4812.06      1583.42
      4813.17      1583.96
      4814.28      1584.49
      4815.39      1585.03
      4816.50      1585.57
      4817.61      1586.10
      4818.72      1586.64
      4819.83      1587.18
      4820.94      1587.71
      4822.05      1588.24
      4823.16      1588.78
      4824.27      1589.31
      4825.38      1589.84
      4826.49      1590.37
      4827.60      1590.90
      4828.71      1591.43
      4829.82      1591.96
      4830.94      1592.49
      4832.05      1593.02
      4833.16      1593.55
      4834.28      1594.08
      4835.39      1594.60
      4836.50      1595.13
      4837.62      1595.65
      4838.73      1596.18
      4839.84      1596.70
      4840.96      1597.22
      4842.07      1597.75
      4843.19      1598.27
      4844.30      1598.79
      4845.42      1599.31
      4846.53      1599.83
      4847.65      1600.35
      4848.77      1600.87
      4849.88      1601.39
      4851.00      1601.91
      4852.12      1602.42
      4853.24      1602.94
      4854.35      1603.45
      4855.47      1603.97
      4856.59      1604.48
      4857.71      1605.00
      4858.83      1605.51
      4859.95      1606.02
      4861.06      1606.53
      4862.18      1607.04
      4863.30      1607.56
      4864.42      1608.06
      4865.54      1608.57
      4866.66      1609.08
      4867.79      1609.59
      4868.91      1610.10
      4870.03      1610.60
      4871.15      1611.11
      4872.27      1611.61
      4873.39      1612.12
      4874.51      1612.62
      4875.64      1613.13
      4876.76      1613.63
      4877.88      1614.13
      4879.01      1614.63
      4880.13      1615.13
      4881.25      1615.63
      4882.38      1616.13
      4883.50      1616.63
      4884.63      1617.13
      4885.75      1617.62
      4886.88      1618.12
      4888.00      1618.61
      4889.13      1619.11
      4890.25      1619.60
      4891.38      1620.10
      4892.51      1620.59
      4893.63      1621.08
      4894.76      1621.57
      4895.89      1622.06
      4897.01      1622.55
      4898.14      1623.04
      4899.27      1623.53
      4900.40      1624.02
      4901.53      1624.50
      4902.66      1624.99
      4903.78      1625.48
      4904.91      1625.96
      4906.04      1626.45
      4907.17      1626.93
      4908.30      1627.41
      4909.43      1627.89
      4910.56      1628.37
      4911.69      1628.85
      4912.83      1629.33
      4913.96      1629.81
      4915.09      1630.29
      4916.22      1630.77
      4917.35      1631.25
      4918.48      1631.72
      4919.62      1632.20
      4920.75      1632.67
      4921.88      1633.15
      4923.02      1633.62
      4924.15      1634.09
      4925.29      1634.56
      4926.42      1635.03
      4927.55      1635.50
      4928.69      1635.97
      4929.82      1636.44
      4930.96      1636.91
      4932.09      1637.38
      4933.23      1637.84
      4934.37      1638.31
      4935.50      1638.77
      4936.64      1639.24
      4937.77      1639.70
      4938.91      1640.16
      4940.05      1640.63
      4941.19      1641.09
      4942.33      1641.55
      4943.46      1642.01
      4944.60      1642.47
      4945.74      1642.92
      4946.88      1643.38
      4948.02      1643.84
      4949.16      1644.29
      4950.30      1644.75
      4951.44      1645.20
      4952.58      1645.66
      4953.72      1646.11
      4954.86      1646.56
      4956.00      1647.01
      4957.14      1647.46
      4958.28      1647.91
      4959.42      1648.36
      4960.57      1648.81
      4961.71      1649.25
      4962.85      1649.70
      4963.99      1650.15
      4965.14      1650.59
      4966.28      1651.03
      4967.42      1651.48
      4968.57      1651.92
      4969.71      1652.36
      4970.86      1652.80
      4972.00      1653.24
      4973.15      1653.68
      4974.29      1654.12
      4975.44      1654.56
      4976.58      1654.99
      4977.73      1655.43
      4978.88      1655.86
      4980.02      1656.30
      4981.17      1656.73
      4982.32      1657.16
      4983.47      1657.60
      4984.61      1658.02
      4985.76      1658.45
      4986.91      1658.88
      4988.06      1659.31
      4989.21      1659.74
      4990.35      1660.17
      4991.50      1660.59
      4992.65      1661.02
      4993.80      1661.44
      4994.95      1661.87
      4996.10      1662.29
